player_id,cumulative_payoff
0,-113
1,-111
2,-104
3,-105
4,-110
5,-108
6,-98
7,-117
8,-121
9,-109
10,-106
11,-110
12,-109
13,-96
14,-120
15,-113
16,-114
17,-101
18,-112
19,-109
20,-115
21,-116
22,-111
23,-113
24,-112
25,-127
26,-111
27,-109
28,-99
29,-106
30,-115
31,-106
32,-105
33,-116
34,-107
35,-105
36,-121
37,-113
38,-112
39,-111
40,-121
41,-108
42,-100
43,-116
44,-105
45,-109
46,-114
47,-119
48,-105
49,-112
50,-200
51,-200
52,-200
53,-200
54,-200
55,-200
56,-200
57,-200
58,-200
59,-200
60,-200
61,-200
62,-200
63,-200
64,-200
65,-200
66,-200
67,-200
68,-200
69,-200
70,-200
71,-200
72,-200
73,-200
74,-200
75,-200
76,-200
77,-200
78,-200
79,-200
80,-200
81,-200
82,-200
83,-200
84,-200
85,-200
86,-200
87,-200
88,-200
89,-200
90,-200
91,-200
92,-200
93,-200
94,-200
95,-200
96,-200
97,-200
98,-200
99,-200
100,-200
